repo name,user name,stars count,repo url
three.js,mrdoob,97000,https://github.com/mrdoob
react-three-fiber,pmndrs,25000,https://github.com/pmndrs
libgdx,libgdx,22400,https://github.com/libgdx
Babylon.js,BabylonJS,21900,https://github.com/BabylonJS
tinyrenderer,ssloy,18700,https://github.com/ssloy
3d-game-shaders-for-beginners,lettier,16600,https://github.com/lettier
FreeCAD,FreeCAD,16500,https://github.com/FreeCAD
aframe,aframevr,16000,https://github.com/aframevr
cesium,CesiumGS,11500,https://github.com/CesiumGS
blender,blender,10700,https://github.com/blender
