repo name,user name,stars count,repo url
public-apis,public-apis,275000,https://github.com/public-apis
neovim,neovim,73000,https://github.com/neovim
fastapi,tiangolo,67200,https://github.com/tiangolo
strapi,strapi,58400,https://github.com/strapi
hoppscotch,hoppscotch,58200,https://github.com/hoppscotch
imgui,ocornut,53300,https://github.com/ocornut
slate,slatedocs,35700,https://github.com/slatedocs
insomnia,Kong,32200,https://github.com/Kong
trpc,trpc,31100,https://github.com/trpc
cli,httpie,30800,https://github.com/httpie
