repo name,user name,stars count,repo url
server,bitwarden,13800,https://github.com/bitwarden
AspNetCore.Docs,dotnet,12100,https://github.com/dotnet
abp,abpframework,11900,https://github.com/abpframework
aspnetboilerplate,aspnetboilerplate,11400,https://github.com/aspnetboilerplate
nopCommerce,nopSolutions,8700,https://github.com/nopSolutions
Electron.NET,ElectronNET,7000,https://github.com/ElectronNET
clean-code-dotnet,thangchung,6600,https://github.com/thangchung
NSwag,RicoSuter,6300,https://github.com/RicoSuter
FastEndpoints,FastEndpoints,3600,https://github.com/FastEndpoints
aspnet-api-versioning,dotnet,2900,https://github.com/dotnet
