repo name,user name,stars count,repo url
Blog,ljianshu,7800,https://github.com/ljianshu
infinite-scroll,metafizzy,7400,https://github.com/metafizzy
tabulator,olifolkerd,5900,https://github.com/olifolkerd
unfetch,developit,5700,https://github.com/developit
form,jquery-form,5200,https://github.com/jquery-form
elFinder,Studio-42,4500,https://github.com/Studio-42
wretch,elbywan,4400,https://github.com/elbywan
learn-to-send-email-via-google-script-html-no-server,dwyl,3000,https://github.com/dwyl
reqwest,ded,2900,https://github.com/ded
ajax-hook,wendux,2500,https://github.com/wendux
