repo name,user name,stars count,repo url
coding-interview-university,jwasham,276000,https://github.com/jwasham
javascript-algorithms,trekhleb,179000,https://github.com/trekhleb
Python,TheAlgorithms,175000,https://github.com/TheAlgorithms
CS-Notes,CyC2018,170000,https://github.com/CyC2018
tech-interview-handbook,yangshun,105000,https://github.com/yangshun
interviews,kdn251,60800,https://github.com/kdn251
hello-algo,krahets,60300,https://github.com/krahets
Java,TheAlgorithms,55400,https://github.com/TheAlgorithms
leetcode,azl397985856,53200,https://github.com/azl397985856
algorithm-visualizer,algorithm-visualizer,45700,https://github.com/algorithm-visualizer
