repo name,user name,stars count,repo url
amp,amphp,4100,https://github.com/amphp
MadelineProto,danog,2600,https://github.com/danog
telegram-api,unreal4u,772,https://github.com/unreal4u
parallel,amphp,714,https://github.com/amphp
http-client,amphp,682,https://github.com/amphp
byte-stream,amphp,351,https://github.com/amphp
service-bus,php-service-bus,346,https://github.com/php-service-bus
mysql,amphp,333,https://github.com/amphp
parallel-functions,amphp,263,https://github.com/amphp
process,amphp,222,https://github.com/amphp
