repo name,user name,stars count,repo url
free-programming-books-zh_CN,justjavac,107000,https://github.com/justjavac
angular,angular,93300,https://github.com/angular
storybook,storybookjs,81600,https://github.com/storybookjs
33-js-concepts,leonardomso,60700,https://github.com/leonardomso
ionic-framework,ionic-team,50100,https://github.com/ionic-team
prettier,prettier,47600,https://github.com/prettier
30-Days-Of-JavaScript,Asabeneh,40000,https://github.com/Asabeneh
sheetjs,SheetJS,34100,https://github.com/SheetJS
angular-cli,angular,26500,https://github.com/angular
components,angular,23900,https://github.com/angular
