repo name,user name,stars count,repo url
devops-exercises,bregman-arie,60500,https://github.com/bregman-arie
ansible,ansible,59900,https://github.com/ansible
algo,trailofbits,28000,https://github.com/trailofbits
90DaysOfDevOps,MichaelCade,24700,https://github.com/MichaelCade
streisand,StreisandEffect,23100,https://github.com/StreisandEffect
kubespray,kubernetes-sigs,15000,https://github.com/kubernetes-sigs
awx,ansible,13100,https://github.com/ansible
kubeasz,easzlab,9800,https://github.com/easzlab
semaphore,ansible-semaphore,8600,https://github.com/ansible-semaphore
ansible-for-devops,geerlingguy,7800,https://github.com/geerlingguy
