repo name,user name,stars count,repo url
Tasmota,arendst,20900,https://github.com/arendst
Marlin,MarlinFirmware,15600,https://github.com/MarlinFirmware
tinygo,tinygo-org,14000,https://github.com/tinygo-org
Arduino,arduino,13900,https://github.com/arduino
johnny-five,rwaldron,13100,https://github.com/rwaldron
esp8266_deauther,SpacehuhnTech,12600,https://github.com/SpacehuhnTech
arduino-esp32,espressif,12000,https://github.com/espressif
lowlevelprogramming-university,gurugio,9200,https://github.com/gurugio
gobot,hybridgroup,8600,https://github.com/hybridgroup
platformio-core,platformio,7300,https://github.com/platformio
