repo name,user name,stars count,repo url
atom,atom,59800,https://github.com/atom
v2,miniflux,5800,https://github.com/miniflux
themer,themerdev,5300,https://github.com/themerdev
markdown-preview-enhanced,shd101wyy,4000,https://github.com/shd101wyy
hydrogen,nteract,3900,https://github.com/nteract
teletype,atom,2400,https://github.com/atom
gofeed,mmcdole,2300,https://github.com/mmcdole
CommandlineConfig,NaiboWang,2000,https://github.com/NaiboWang
feeds,feeddd,2000,https://github.com/feeddd
awesome-atom,mehcode,1900,https://github.com/mehcode
