repo name,user name,stars count,repo url
awesome,sindresorhus,286000,https://github.com/sindresorhus
awesome-python,vinta,195000,https://github.com/vinta
awesome-selfhosted,awesome-selfhosted,165000,https://github.com/awesome-selfhosted
the-book-of-secret-knowledge,trimstray,119000,https://github.com/trimstray
awesome-go,avelino,115000,https://github.com/avelino
HelloGitHub,521xueweihan,81200,https://github.com/521xueweihan
papers-we-love,papers-we-love,80700,https://github.com/papers-we-love
Awesome-Hacking,Hack-with-Github,73600,https://github.com/Hack-with-Github
awesome-mac,jaywcjlove,68300,https://github.com/jaywcjlove
awesome-interview-questions,DopplerHQ,63500,https://github.com/DopplerHQ
