repo name,user name,stars count,repo url
babel,babel,42700,https://github.com/babel
swc,swc-project,29300,https://github.com/swc-project
nylas-mail,nylas,24800,https://github.com/nylas
electron-react-boilerplate,electron-react-boilerplate,22300,https://github.com/electron-react-boilerplate
electron-vue,SimulatedGREG,15400,https://github.com/SimulatedGREG
front-end-guide,grab,15000,https://github.com/grab
babel-handbook,jamiebuilds,11900,https://github.com/jamiebuilds
htm,developit,8500,https://github.com/developit
grommet,grommet,8300,https://github.com/grommet
twin.macro,ben-rogerson,7700,https://github.com/ben-rogerson
