repo name,user name,stars count,repo url
the-art-of-command-line,jlevy,143000,https://github.com/jlevy
nvm,nvm-sh,73200,https://github.com/nvm-sh
fzf,junegunn,56900,https://github.com/junegunn
zx,google,39500,https://github.com/google
starship,starship,38700,https://github.com/starship
awesome-cheatsheets,LeCoupa,36000,https://github.com/LeCoupa
pure-bash-bible,dylanaraps,35500,https://github.com/dylanaraps
acme.sh,acmesh-official,35100,https://github.com/acmesh-official
shellcheck,koalaman,34200,https://github.com/koalaman
awesome-shell,alebcay,29900,https://github.com/alebcay
