repo name,user name,stars count,repo url
bitcoin,bitcoin,73400,https://github.com/bitcoin
ccxt,ccxt,30200,https://github.com/ccxt
freqtrade,freqtrade,24100,https://github.com/freqtrade
ZeroNet,HelloZeroNet,18100,https://github.com/HelloZeroNet
solana,solana-labs,11200,https://github.com/solana-labs
abu,bbfamily,10900,https://github.com/bbfamily
gekko,askmike,10000,https://github.com/askmike
blockchain,dvf,7600,https://github.com/dvf
lnd,lightningnetwork,7300,https://github.com/lightningnetwork
lbry-sdk,lbryio,7200,https://github.com/lbryio
