repo name,user name,stars count,repo url
ccxt,ccxt,30200,https://github.com/ccxt
discord.js,discordjs,24400,https://github.com/discordjs
python-telegram-bot,python-telegram-bot,24000,https://github.com/python-telegram-bot
wechaty,wechaty,18200,https://github.com/wechaty
rasa,RasaHQ,17500,https://github.com/RasaHQ
hubot,hubotio,16500,https://github.com/hubotio
InstaPy,InstaPy,16100,https://github.com/InstaPy
leon,leon-ai,14100,https://github.com/leon-ai
discord.py,Rapptz,13900,https://github.com/Rapptz
ChatterBot,gunthercox,13800,https://github.com/gunthercox
