repo name,user name,stars count,repo url
COVID-19,CSSEGISandData,29200,https://github.com/CSSEGISandData
covid-19-data,nytimes,7000,https://github.com/nytimes
covid19india-react,covid19india,6900,https://github.com/covid19india
covid19,Tokyo-Metro-Gov,6300,https://github.com/Tokyo-Metro-Gov
covid-19-data,owid,5600,https://github.com/owid
COVID-19,pcm-dpc,3900,https://github.com/pcm-dpc
covid-chestxray-dataset,ieee8023,3000,https://github.com/ieee8023
corona,geohot,2500,https://github.com/geohot
API,disease-sh,2400,https://github.com/disease-sh
app,WorldHealthOrganization,2100,https://github.com/WorldHealthOrganization
