repo name,user name,stars count,repo url
scrcpy,Genymobile,97100,https://github.com/Genymobile
neovim,neovim,73000,https://github.com/neovim
obs-studio,obsproject,53600,https://github.com/obsproject
awesome-cpp,fffaraz,53100,https://github.com/fffaraz
git,git,48500,https://github.com/git
FFmpeg,FFmpeg,40500,https://github.com/FFmpeg
open-source-mac-os-apps,serhii-londar,38300,https://github.com/serhii-londar
vim,vim,34000,https://github.com/vim
curl,curl,32900,https://github.com/curl
interview,huihut,31800,https://github.com/huihut
