repo name,user name,stars count,repo url
bypass-paywalls-chrome,iamadamdev,44800,https://github.com/iamadamdev
linux-command,jaywcjlove,27000,https://github.com/jaywcjlove
refined-github,refined-github,22500,https://github.com/refined-github
openai-translator,openai-translator,19700,https://github.com/openai-translator
darkreader,darkreader,18100,https://github.com/darkreader
daily,dailydotdev,15100,https://github.com/dailydotdev
headless-recorder,checkly,14900,https://github.com/checkly
codelf,unbug,13900,https://github.com/unbug
chatgpt-google-extension,wong2,13300,https://github.com/wong2
SingleFile,gildas-lormeau,12900,https://github.com/gildas-lormeau
