repo name,user name,stars count,repo url
electron,electron,110000,https://github.com/electron
puppeteer,puppeteer,85800,https://github.com/puppeteer
playwright,microsoft,58300,https://github.com/microsoft
bypass-paywalls-chrome,iamadamdev,44800,https://github.com/iamadamdev
mkcert,FiloSottile,44300,https://github.com/FiloSottile
linux-command,jaywcjlove,27000,https://github.com/jaywcjlove
octotree,ovity,22600,https://github.com/ovity
nightmare,segment-boneyard,19500,https://github.com/segment-boneyard
headless-recorder,checkly,14900,https://github.com/checkly
WebFundamentals,google,13800,https://github.com/google
