repo name,user name,stars count,repo url
metabase,metabase,35500,https://github.com/metabase
logseq,logseq,27800,https://github.com/logseq
penpot,penpot,25400,https://github.com/penpot
deeplearning4j,deeplearning4j,13300,https://github.com/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable
mal,kanaka,9700,https://github.com/kanaka
awesomo,lk-geimfari,9100,https://github.com/lk-geimfari
datascript,tonsky,5300,https://github.com/tonsky
reagent,reagent-project,4700,https://github.com/reagent-project
intellij-rainbow-brackets,izhangzhihao,4200,https://github.com/izhangzhihao
