repo name,user name,stars count,repo url
SwiftLint,realm,18100,https://github.com/realm
infer,facebook,14600,https://github.com/facebook
static-analysis,analysis-tools-dev,12500,https://github.com/analysis-tools-dev
awesome-guidelines,Kristories,9300,https://github.com/Kristories
Modern-CPP-Programming,federico-busato,8700,https://github.com/federico-busato
sonarqube,SonarSource,8300,https://github.com/SonarSource
checkstyle,checkstyle,8000,https://github.com/checkstyle
reviewdog,reviewdog,7000,https://github.com/reviewdog
pyre-check,facebook,6600,https://github.com/facebook
detekt,detekt,5900,https://github.com/detekt
