repo name,user name,stars count,repo url
octotree,ovity,22600,https://github.com/ovity
gitpod,gitpod-io,12000,https://github.com/gitpod-io
reviewdog,reviewdog,7000,https://github.com/reviewdog
danger,danger,5300,https://github.com/danger
danger-js,danger,5100,https://github.com/danger
awesome-code-review,joho,4100,https://github.com/joho
pr-agent,Codium-ai,3100,https://github.com/Codium-ai
nodejsscan,ajinabraham,2300,https://github.com/ajinabraham
vscode-pull-request-github,microsoft,2200,https://github.com/microsoft
cargo-crev,crev-dev,2000,https://github.com/crev-dev
