repo name,user name,stars count,repo url
ohmyzsh,ohmyzsh,166000,https://github.com/ohmyzsh
fzf,junegunn,56900,https://github.com/junegunn
sherlock,sherlock-project,46300,https://github.com/sherlock-project
bat,sharkdp,44700,https://github.com/sharkdp
ripgrep,BurntSushi,42800,https://github.com/BurntSushi
dive,wagoodman,41900,https://github.com/wagoodman
lazygit,jesseduffield,41700,https://github.com/jesseduffield
zx,google,39500,https://github.com/google
n8n,n8n-io,37100,https://github.com/n8n-io
cheat.sh,chubin,36900,https://github.com/chubin
