repo name,user name,stars count,repo url
next.js,vercel,117000,https://github.com/vercel
rust,rust-lang,89100,https://github.com/rust-lang
svelte,sveltejs,75000,https://github.com/sveltejs
webpack,webpack,63900,https://github.com/webpack
gatsby,gatsbyjs,54900,https://github.com/gatsbyjs
kotlin,JetBrains,46800,https://github.com/JetBrains
parcel,parcel-bundler,42900,https://github.com/parcel-bundler
babel,babel,42700,https://github.com/babel
sway,FuelLabs,41300,https://github.com/FuelLabs
esbuild,evanw,36700,https://github.com/evanw
