repo name,user name,stars count,repo url
localstack,localstack,51000,https://github.com/localstack
gitness,harness,31000,https://github.com/harness
jenkins,jenkinsci,21900,https://github.com/jenkinsci
volkswagen,auchenberg,12800,https://github.com/auchenberg
dagger,dagger,9500,https://github.com/dagger
origin,openshift,8400,https://github.com/openshift
concourse,concourse,7100,https://github.com/concourse
DevOps-Roadmap,milanm,7000,https://github.com/milanm
gocd,gocd,7000,https://github.com/gocd
gaia,gaia-pipeline,5100,https://github.com/gaia-pipeline
