repo name,user name,stars count,repo url
CS-Notes,CyC2018,170000,https://github.com/CyC2018
project-based-learning,practical-tutorials,151000,https://github.com/practical-tutorials
leetcode,azl397985856,53200,https://github.com/azl397985856
awesome-cpp,fffaraz,53000,https://github.com/fffaraz
leetcode-master,youngyangyang04,44700,https://github.com/youngyangyang04
x64dbg,x64dbg,42500,https://github.com/x64dbg
CPlusPlusThings,Light-City,35300,https://github.com/Light-City
yuzu,yuzu-emu,33000,https://github.com/yuzu-emu
carbon-lang,carbon-language,31800,https://github.com/carbon-language
interview,huihut,31800,https://github.com/huihut
